order_id,shipping_mode,shipping_date_dateorders,days_for_shipping_real,days_for_shipment_scheduled,delivery_status,late_delivery_risk
77202,Standard Class,2018-02-03 22:56:00,3,4,Advance shipping,0
75939,Standard Class,2018-01-18 12:27:00,5,4,Late delivery,1
75938,Standard Class,2018-01-17 12:06:00,4,4,Shipping on time,0
75937,Standard Class,2018-01-16 11:45:00,3,4,Advance shipping,0
75936,Standard Class,2018-01-15 11:24:00,2,4,Advance shipping,0
75935,Standard Class,2018-01-19 11:03:00,6,4,Shipping canceled,0
75934,First Class,2018-01-15 10:42:00,2,1,Late delivery,1
75933,First Class,2018-01-15 10:21:00,2,1,Late delivery,1
75932,Second Class,2018-01-16 10:00:00,3,2,Late delivery,1
75931,First Class,2018-01-15 09:39:00,2,1,Late delivery,1
75930,Second Class,2018-01-19 09:18:00,6,2,Shipping canceled,0
75929,Second Class,2018-01-18 08:57:00,5,2,Late delivery,1
75928,Second Class,2018-01-17 08:36:00,4,2,Late delivery,1
75927,First Class,2018-01-15 08:15:00,2,1,Late delivery,1
75926,First Class,2018-01-15 07:54:00,2,1,Late delivery,1
75925,First Class,2018-01-15 07:33:00,2,1,Late delivery,1
75924,Second Class,2018-01-18 07:12:00,5,2,Late delivery,1
75923,First Class,2018-01-15 06:51:00,2,1,Late delivery,1
75922,First Class,2018-01-15 06:30:00,2,1,Late delivery,1
75921,Same Day,2018-01-13 18:09:00,0,0,Shipping on time,0
75920,Same Day,2018-01-13 17:48:00,0,0,Shipping on time,0
75919,Standard Class,2018-01-18 05:27:00,5,4,Late delivery,1
75918,Second Class,2018-01-17 05:06:00,4,2,Late delivery,1
75917,Second Class,2018-01-16 04:45:00,3,2,Shipping canceled,0
75916,Second Class,2018-01-15 04:24:00,2,2,Shipping canceled,0
75915,Second Class,2018-01-19 04:03:00,6,2,Late delivery,1
75914,Second Class,2018-01-18 03:42:00,5,2,Late delivery,1
75913,Standard Class,2018-01-17 03:21:00,4,4,Shipping on time,0
